InscriptionYear,HusbandAge,HusbandPreviousMaritalStatus,HusbandCityBirthPlace,HusbandCountryBirthPlace,HusbandCityResidencePlace,HusbandCountryResidencePlace,HusbandPreviousMarriages,HusbandPreviousChildren,WifeAge,WifePreviousMaritalStatus,WifeCityBirthPlace,WifeCountryBirthPlace,WifeCityResidencePlace,WifeCountryResidencePlace,WifePreviousMarriages,WifePreviousChildren,MarriageDate,MarriagePlace
2013,35,DIVORCIO O ANULACION,SAN JUAN,PUERTO RICO,GUAYNABO,PUERTO RICO,1,0,35,DIVORCIO O ANULACION,BAYAMON,PUERTO RICO,TOA ALTA,PUERTO RICO,2,1,12/22/13,TOA BAJA
2013,25,NUNCA SE HA CASADO,HUMACAO,PUERTO RICO,HUMACAO,PUERTO RICO,0,0,17,NUNCA SE HA CASADO,NEW YORK,ESTADOS UNIDOS,NAGUABO,PUERTO RICO,0,0,9/25/13,HUMACAO
2013,41,DIVORCIO O ANULACION,MAYAGUEZ,PUERTO RICO,ANASCO,PUERTO RICO,2,1,32,DIVORCIO O ANULACION,ADJUNTAS,PUERTO RICO,ANASCO,PUERTO RICO,1,1,12/18/13,ANASCO
2013,35,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,MANATI,PUERTO RICO,0,0,31,NUNCA SE HA CASADO,COLORADO,ESTADOS UNIDOS,ARECIBO,PUERTO RICO,0,0,10/18/13,ARECIBO
2013,30,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,GUAYNABO,PUERTO RICO,0,0,27,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,GUAYNABO,PUERTO RICO,0,0,10/6/13,CAGUAS
2013,22,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,TOA BAJA,PUERTO RICO,0,0,20,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,TOA BAJA,PUERTO RICO,0,0,11/9/13,TOA BAJA
2013,23,NUNCA SE HA CASADO,PONCE,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,23,NUNCA SE HA CASADO,PONCE,PUERTO RICO,JUANA DIAZ,PUERTO RICO,0,0,10/5/13,PONCE
2013,45,DIVORCIO O ANULACION,COAMO,PUERTO RICO,SANTA ISABEL,PUERTO RICO,2,3,47,DIVORCIO O ANULACION,COAMO,PUERTO RICO,SANTA ISABEL,PUERTO RICO,1,1,6/29/13,COAMO
2013,24,NUNCA SE HA CASADO,PONCE,PUERTO RICO,PONCE,PUERTO RICO,0,0,21,NUNCA SE HA CASADO,PONCE,PUERTO RICO,JUANA DIAZ,PUERTO RICO,0,0,4/1/13,PONCE
2013,57,DIVORCIO O ANULACION,NA,CUBA,MAYAGUEZ,PUERTO RICO,2,4,50,DIVORCIO O ANULACION,NEW JERSEY,ESTADOS UNIDOS,ISABELA,PUERTO RICO,3,1,2/23/13,CABO ROJO
2013,20,NUNCA SE HA CASADO,PONCE,PUERTO RICO,UTUADO,PUERTO RICO,0,0,20,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,UTUADO,PUERTO RICO,0,0,12/23/13,UTUADO
2013,38,DIVORCIO O ANULACION,BAYAMON,PUERTO RICO,BAYAMON,PUERTO RICO,1,2,27,DIVORCIO O ANULACION,SAN JUAN,PUERTO RICO,BAYAMON,PUERTO RICO,1,2,6/25/13,TOA ALTA
2013,23,NUNCA SE HA CASADO,ILLINOIS,ESTADOS UNIDOS,ILLINOIS,ESTADOS UNIDOS,0,0,19,NUNCA SE HA CASADO,NEW YORK,ESTADOS UNIDOS,FAJARDO,PUERTO RICO,0,0,2/8/13,CEIBA
